"","subdomain-1","subdomain-2","subdomain-3","subdomain-4","subdomain-5","subdomain-6","subdomain-7","subdomain-8","subdomain-9","subdomain-10","subdomain-11","subdomain-12","subdomain-13","subdomain-14"
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17897_051.swc",1836.05810754108,1901.67221807838,0,0,371.92007133791,188.744943380805,5028.54047765882,1361.22397154249,448.810035738702,6571.46063391192,5818.75346231353,0,6292.84882850648,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17897_053.swc",0,238.460798672593,0,0,0,0,0,974.560398623034,2332.07644848114,0,0,0,188.437991869046,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17897_055.swc",0,0,0,0,0,1025.72535925554,396.915385893455,7931.25878766478,6170.34218118588,833.658378787259,1908.63043604592,0,14573.1768493957,1145.1076788318
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17898_003.swc",0,0,0,0,1359.85325303954,12233.0478601707,209.962639761439,4.75985793638949,1169.9456656604,0,0,0,4528.89106734875,166.599561825514
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17898_005.swc",36.2006771240258,2145.89275786278,156.336436860852,0,1689.67216200798,1266.84827640409,5847.07817086612,1684.07943825008,3410.92719881568,0,731.786492149648,0,3947.24806076983,829.430141705867
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17898_011.swc",0,0,0,0,76.2449614796894,764.912283782156,0,387.318722697127,585.923837458833,0,0,0,1429.94881441746,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17898_025.swc",271.031704532062,0,0,0,0,0,0,512.536427202566,0,1145.02956435382,657.621259105518,0,5153.74101765653,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17898_037.swc",957.713664108194,0,0,0,0,340.197357477643,2320.11246649837,5609.71772548822,1562.82510884297,0,60.0733873894257,0,7260.28294808408,136.987990016943
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17898_038.swc",0,0,0,0,1442.77152749343,2567.5169898056,682.304928204851,5952.59096209303,924.886202249467,0,100.727229452093,0,10714.5251071163,488.680860311528
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17898_043.swc",0,217.934881854311,0,0,0,3007.59644721481,5029.70831291539,1681.06551533158,640.115841457262,66.9273596247435,0,0,5206.65154780029,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17898_047.swc",20.4357273182329,4105.71094069008,0,0,1547.52298643665,197.955021108266,146.439544327129,5431.07141606789,32673.8244983918,0,0,0,5222.01918528764,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_001.swc",9847.41304408312,1223.09344853823,3918.5429435844,3515.29611620672,309.38486652511,0,0,0,640.870262053618,0,255.713664288548,145.378339103339,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_002.swc",9892.22994434437,1787.1886300187,646.623640670557,1927.80964267395,0,0,0,0,0,0,0,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_003.swc",2745.53345266566,2120.90885299151,2839.29821470974,3158.29694671295,0,0,0,0,0,0,0,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_007.swc",201.36352421175,0,0,0,0,0,497.850860557976,0,0,10788.5642201439,3880.14368358183,11152.6928107719,2081.40464741976,2111.18430156826
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_016.swc",14679.7114599965,1727.87927737001,1173.17027044081,2530.21364482634,164.377419901603,0,0,0,63.0952131801484,0,1286.70918578935,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_018.swc",3370.2699077924,0,0,0,0,0,0,236.420436868915,453.223157718431,0,1679.53763986605,0,1693.35036042321,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_023.swc",434.443866523362,0,0,0,0,0,0,4414.00399133797,0,6118.36445725212,19089.5009507643,0,7243.75668608174,873.997025373991
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_024.swc",11389.6175114188,2269.14883358996,0,142.157018227734,148.638164179203,1707.11744429679,12996.0718168443,11543.1901720268,7413.86173151204,2913.20313964464,24431.9807256126,4044.86305515158,8138.07848147666,7675.85673807398
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_025.swc",63.9729173818151,0,0,0,0,0,0,0,0,6811.42735515904,9382.90205321897,0,2077.50310513298,909.505764525537
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_026.swc",602.954691467322,0,0,0,0,0,0,636.545036629229,0,11404.5437235174,11639.1477354512,10241.9438469032,954.797718557036,1165.67763897334
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_027.swc",210.756084727206,0,0,0,0,0,0,194.60098226363,0,3348.00302575796,44.709343363231,0,2460.85156082585,742.553596029464
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_033.swc",2723.79134430248,1924.37644471496,0,0,1300.36402036,8461.22195582237,25485.072330667,17790.1523041055,10709.9683575345,1202.26197112044,1600.00279188159,0,16940.3244020845,2409.20496399246
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_034.swc",6853.40858018743,4789.22304932145,160.13151723789,852.859987944645,1472.00546935776,4487.10718767208,14498.7930205381,12382.7402838128,20096.5154604578,0,981.427367077626,1108.23144792952,8747.92936705174,456.854300449977
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_036.swc",0,0,0,0,0,0,0,884.333868192466,0,559.11556880769,5503.75192200283,0,1473.51899000072,410.973560343951
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_048.swc",0,0,0,0,0,0,47.4395873773399,3678.43754140947,0,3224.71485974326,3738.56261928701,0,10667.3337324035,100.885371980662
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_052.swc",5004.40325422378,4355.06973360374,0,743.709554895591,1253.90695718898,5280.9106945785,43251.2929119317,7150.13103898093,7089.00025683782,622.867776475749,1603.01124304392,14326.7434673012,6176.42302438618,7608.55793743184
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_053.swc",60.4757532000226,0,0,320.202006819903,0,0,0,0,0,899.453662478049,424.310474887686,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_057.swc",10973.008188521,83.540952358027,1140.39220146334,3434.74438623268,227.435459237012,0,0,82.0116049049062,1372.52234319695,0,0,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_058.swc",2424.92455651347,1100.01535556438,742.487702489956,0,393.096371901159,2.8911099781572,0,0,565.891028267644,0,0,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_061.swc",2986.08777104107,0,0,2375.23206425579,169.535768737113,0,0,0,1086.12457431861,0,0,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_062.swc",0,68.0383690379634,0,0,381.912111712842,0,0,0,833.59271102318,0,0,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_066.swc",10469.5118585664,290.227511532663,0,108.746165474923,0,0,0,0,1522.94053431579,0,2733.06041804473,0,24.6655126052081,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_069.swc",27625.1554557495,352.72268365501,77.9479250641802,459.626798739942,0,168.080971861755,0,1258.41227734498,1747.87753700493,0,254.368544397016,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_075.swc",0,164.342833456833,0,0,249.216597561663,0,0,0,928.737749967354,0,0,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_079.swc",3034.76161141608,145.712039663354,667.399331053281,4989.37384897116,0,0,0,0,0,0,98.5181052332514,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_087.swc",4788.29870091467,0,9.49908849524022,0,0,0,161.695485300308,546.214910117312,0,0,44.2938462573512,0,1489.19152729953,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_088.swc",0,0,0,0,0,0,0,338.365770052731,0,12517.851464108,32873.9556178587,0,1416.69638992372,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_100.swc",457.186150783894,0,0,1291.2464478799,0,0,0,0,0,0,0,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_101.swc",8244.78299958425,10294.9681005976,1373.6741859859,776.386076571632,1040.49079941312,2837.93230863061,18748.419127543,10851.6064955685,13695.8541997901,4519.97191139681,7389.29141275049,3897.53578699776,6884.05836708611,1594.14729118921
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_102.swc",1087.98368475876,0,0,0,0,366.761731492167,0,1203.80647211896,441.902705421828,0,0,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_104.swc",0,0,0,0,0,181.555601281748,0,1620.12378486534,0,0,0,0,420.713746085114,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_106.swc",11181.2133817869,2748.50047648769,101.314987408454,0,0,726.646275609474,1627.69515070433,17077.8233016138,20426.5001684439,11.9423590677615,4832.76665329733,0,6680.95076799622,0
