"","Hemisphere","ProjectID","AxonType","SWCPath"
"108","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_121.swc"
"109","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_130.swc"
"110","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_137.swc"
"111","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_139.swc"
"112","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_140.swc"
"113","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_147.swc"
"114","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_149.swc"
"115","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_150.swc"
"116","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_151.swc"
"117","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_152.swc"
"118","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_153.swc"
"119","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_156.swc"
"120","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_159.swc"
"121","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_161.swc"
"122","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_163.swc"
"123","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_164.swc"
"124","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_165.swc"
"125","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_167.swc"
"126","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_168.swc"
"127","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_179.swc"
"128","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192309_019.swc"
"129","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192309_022.swc"
"130","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192309_027.swc"
"131","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192309_054.swc"
"132","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192309_055.swc"
"133","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192309_058.swc"
"134","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192309_060.swc"
"135","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192309_072.swc"
"136","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192309_076.swc"
"137","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192309_077.swc"
"138","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192309_079.swc"
"139","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192309_081.swc"
"140","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192309_092.swc"
"141","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192309_093.swc"
"142","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_001.swc"
"143","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_002.swc"
"144","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_003.swc"
"145","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_005.swc"
"146","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_006.swc"
"147","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_008.swc"
"148","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_009.swc"
"149","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_010.swc"
"150","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_015.swc"
"151","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_016.swc"
"152","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_020.swc"
"153","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_023.swc"
"154","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_030.swc"
"155","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_031.swc"
"156","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_032.swc"
"157","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_038.swc"
"158","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_042.swc"
"159","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_045.swc"
"160","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_054.swc"
"161","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_060.swc"
"162","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_061.swc"
"163","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_062.swc"
"164","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_063.swc"
"165","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_066.swc"
"166","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_067.swc"
"167","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_068.swc"
"168","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_071.swc"
"169","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_072.swc"
"170","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_073.swc"
"171","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_074.swc"
"172","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_077.swc"
"173","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_078.swc"
"174","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_081.swc"
"175","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_082.swc"
"176","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_089.swc"
"177","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_090.swc"
"178","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_093.swc"
"179","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_094.swc"
